,id,status_id,created_at,text,address,loc,situ,save,sos,sos.pred,sos.correct
1,1,9.02128E+17,8/28/2017 11:19,#Harvey floods TV station #KHOU in #Houston. https://t.co/ylAK0G2UAI,0,NA,0,0,0,0,0
2,2,9.02214E+17,8/28/2017 16:58,"@RandiRhodes RR call him out for visiting SA, which has its own flooding. Mayor of Houston seems to have done the right thing with shelter in place.",0,NA,0,0,0,0,0
3,3,9.0183E+17,8/27/2017 15:35,Wow a tv station is flooding in Houston! So scary and sad and the rain keeps pouring down! https://t.co/cWeRAk3go8,0,NA,1,0,0,0,0
4,4,9.02374E+17,8/29/2017 3:36,"My son, dil &amp; 2 grandkids in grand lakes, Katy tx would like to evac if anyone w/boat or big truck can get to them. 4"" &amp; rising fast #Harvey",0,NA,0,1,1,1,0
5,5,9.02141E+17,8/28/2017 12:09,is the beltway still flooded? ya boy need to go pay bills 😒,0,NA,0,0,0,0,0
6,6,9.02373E+17,8/29/2017 3:31,"She's in San Antonio and he's at their place by memorial so I hope he's okay there, it was flooding pretty bad. :(",0,NA,0,0,0,0,0
7,7,9.01821E+17,8/27/2017 14:56,Babe Zaharias Golf Course flooding in Port Arthur. #Harvey @12NewsNow https://t.co/3liEOSR6Jp,0,NA,1,0,0,0,0
8,8,9.01837E+17,8/27/2017 16:02,In development strip mall along Broadway in Pearland has about a foot of water. #Harvey https://t.co/Xci9f1twsI,0,NA,0,0,0,0,0
9,9,9.01818E+17,8/27/2017 14:46,"My mom finally landed in Houston, but we can't even pick her up bc our street is flooded ☹️☹️☹️ #HurricaneHarvey",0,NA,0,0,0,0,0
10,10,9.02034E+17,8/28/2017 5:05,TX | SEGUIN |FLOODING| I 10 WB / MM 655 | AREA RD WAY IS BEING CLOSED DUE FLOODING SEEK ALT @TXSTORMCHASERS |... https://t.co/d5py0jfhAQ,0,NA,1,0,0,0,0
11,11,9.02213E+17,8/28/2017 16:54,8618 Banting St. - Awaiting Update. #HurricaneHarvey #Houston #houstonflood,1,NA,0,0,0,0,0
12,12,9.02382E+17,8/29/2017 4:08,i was listening to day by day rn and immediately went outside to punch and stomp my flooding street,0,NA,0,0,0,0,0
13,13,9.01879E+17,8/27/2017 18:47,ICE Left 50 Immigrant Women And Kids Stranded At A Bus Station Before Hurricane Harvey Struck https://t.co/uSvqQr6c68,0,NA,0,0,0,0,0
14,14,9.01912E+17,8/27/2017 20:58,ICE Left 50 Immigrant Women And Kids Stranded At A Bus Station Before Hurricane Harvey Struck https://t.co/8qWtJ9jiOx via @aflores,0,NA,0,0,0,0,0
15,15,9.0185E+17,8/27/2017 16:52,ICE Left 50 Immigrant Women And Kids Stranded At A Bus Station Before Hurricane Harvey Struck - BuzzFeed News https://t.co/Kxm0sPhBuS,0,NA,0,0,0,0,0
16,16,9.01815E+17,8/27/2017 14:35,ICE Left 50 Immigrant Women And Kids Stranded At A Bus Station Before Hurricane Harvey Struck - BuzzFeed News https://t.co/IsGzNaxRKs,0,NA,0,0,0,0,0
17,17,9.02107E+17,8/28/2017 9:54,"@Kiwiasdsw @RepSwalwell @orzelc I know. I just get frustrated by the fact that if the next hurricane hits any place but texas, these guys will delay relief again",0,NA,0,0,0,0,0
18,18,9.02042E+17,8/28/2017 5:36,"Closed in #Guadalupe on I-10  EB between Trainer Hale Rd and Zuehl Rd, stopped traffic back to Trainer Hale Rd #traffic",0,NA,1,0,0,0,0
19,19,9.02225E+17,8/28/2017 17:44,"Retweeted TxDOT - Yoakum (@TxDOTYoakum):

Gonzales County: Flooding on US 90A at Peach Creek #Harvey... https://t.co/slvto8HQuI",0,NA,0,0,0,0,0
20,20,9.0182E+17,8/27/2017 14:54,"@BrandiKHOU doing amazing work broadcasting for entire station, coordinating rescue efforts. @KHOU #StandsforHouston #Harvey",0,NA,0,0,0,0,0
21,21,9.01816E+17,8/27/2017 14:37,"pure coincidence, if god was real he wouldn't have sent the hurricane there in the first place https://t.co/669DAjIRjR",0,NA,0,0,0,0,0
22,22,9.02146E+17,8/28/2017 12:28,"Hurricane season is not unreal.our preseason forecast called for high impact season for US, end of major hit drought.
ACE STILL BELOW AVE! https://t.co/up8BPxu6vI",0,NA,0,0,0,0,0
23,23,9.02379E+17,8/29/2017 3:56,@bigfunPhD Physically great. But house flooded. We are at son's place. Thanks,0,NA,0,0,0,0,0
24,24,9.01827E+17,8/27/2017 15:19,Hurricane Katrina taught us that they will portray people trying to survive with no resources as looters and shoot them in the street https://t.co/sUMAGGzbLg,0,NA,0,0,0,0,0
25,25,9.01847E+17,8/27/2017 16:41,"My street is mostly ok, but a water rescue vehicle, a Humvee &amp; pickup trucks just drove down it toward Faulkey Gully #Harvey2017 #harvey",0,NA,0,0,0,0,0
26,26,9.0237E+17,8/29/2017 3:18,Looters trying their best to get shot creeping around flooded neighborhoods in Fort Bend County. Good luck! #HoustonStrong #Harvey,0,NA,0,0,0,0,0
27,27,9.02386E+17,8/29/2017 4:22,KHOU: RT GraceWhiteKHOU: Important information for people who live or work in Fort Bend County from FBCSO #Harvey … https://t.co/2BoflibjNg,0,NA,0,0,0,0,0
28,28,9.01918E+17,8/27/2017 21:24,When we evacuated for hurricane Rita it took us 8 hours to get to Dallas (normally a 4 hour drive) &amp; we left 3 days before the hurricane hit,0,NA,0,0,0,0,0
29,29,9.02051E+17,8/28/2017 6:13,"🔥Mandatory evacuation issued by 1:00 p.m., Monday, August 28, 2017, for Bay City, #Texas!

#TexasFlood
#Harvey https://t.co/XCPcLJ4FYO",0,NA,1,0,0,0,0
30,30,9.02173E+17,8/28/2017 14:15,"#texas Church takes in #immigrant families after ICE abandons them at bus station in midst of #Harvey
https://t.co/zjAkJgDplm",0,NA,0,0,0,0,0
31,31,9.02333E+17,8/29/2017 0:53,Urgently need #WaterRescue at 10415 Merry Meadow Ln. Elderly #WaterRescueNeeded #HarveyFlood #houstonflood #hurricaneharvey,1,NA,0,1,1,1,1
